"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"251","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"252","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"253","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.stack.of.sandwiches","a. One thing",0,1,0,0,0,"Coll",13,1,0
"254","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"256","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.crowd.of.onlookers","a. One thing",0,1,0,0,0,"Coll",16,1,0
"260","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.collection.of.coins","a. One thing",0,1,0,0,0,"Coll",20,1,0
"261","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"262","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"263","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"264","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.pile.of.pucks","a. One thing",0,1,0,0,0,"Coll",24,1,0
"265","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.crate.of.tangerines","a. One thing",0,0,0,0,1,"FullCont",25,1,0
"266","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"267","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.set.of.dvds","a. One thing",0,1,0,0,0,"Coll",27,1,0
"268","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"270","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"271","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.bin.of.baseballs","a. One thing",0,0,0,1,0,"FullCont",31,1,0
"272","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"273","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.troop.of.preschoolers","a. One thing",0,1,0,0,0,"Coll",33,1,0
"274","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
"275","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"276","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"277","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.group.of.llamas","a. One thing",0,1,0,0,0,"Coll",37,1,0
"280","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"321","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.vase.of.cattails","b. More than one thing",0,0,0,0,1,"FullCont",1,0,1
"322","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
